Unit Serial No : 240-LV0P465-EU
Integration Time : 60 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   10:20:02

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
664.5000      	15048.9090    	1518.18176    
665.0000      	15037.5940    	1578.81824    
665.5000      	15026.2960    	1574.63635    
666.0000      	15015.0150    	1551.72729    
666.5000      	15003.7509    	1543.27271    
667.0000      	14992.5037    	1550.27271    
667.5000      	14981.2734    	1589.27271    
668.0000      	14970.0599    	1558.90906    
668.5000      	14958.8631    	1479.72729    
669.0000      	14947.6831    	1490.81824    
669.5000      	14936.5198    	1460.63635    
670.0000      	14925.3731    	1481.27271    
670.5000      	14914.2431    	1527.90906    
671.0000      	14903.1297    	1541.72729    
671.5000      	14892.0328    	1468.63635    
672.0000      	14880.9524    	1459.18176    
672.5000      	14869.8885    	1443.18176    
673.0000      	14858.8410    	1469.63635    
673.5000      	14847.8099    	1462.63635    
674.0000      	14836.7953    	1504.45459    
674.5000      	14825.7969    	1628.09094    
675.0000      	14814.8148    	1557.63635    
675.5000      	14803.8490    	1479.63635    
676.0000      	14792.8994    	1487.36365    
676.5000      	14781.9660    	1517.09094    
677.0000      	14771.0487    	1592.36365    
677.5000      	14760.1476    	1474.81824    
678.0000      	14749.2625    	1507.72729    
678.5000      	14738.3935    	1527.09094    
679.0000      	14727.5405    	1630.36365    
679.5000      	14716.7035    	1509.36365    
680.0000      	14705.8824    	1487.09094    
680.5000      	14695.0771    	1426.36365    
681.0000      	14684.2878    	1462.36365    
