Unit Serial No : 240-LV0P465-EU
Integration Time : 240 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   10:13:18

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
626.0000      	15974.4409    	2603.18188    
626.5000      	15961.6919    	2429.36353    
627.0000      	15948.9633    	2568.00000    
627.5000      	15936.2550    	2661.72729    
628.0000      	15923.5669    	2721.27271    
628.5000      	15910.8990    	2262.54541    
629.0000      	15898.2512    	2576.54541    
629.5000      	15885.6235    	2318.09082    
630.0000      	15873.0159    	2278.00000    
630.5000      	15860.4282    	2457.81812    
631.0000      	15847.8605    	2492.36353    
631.5000      	15835.3127    	2314.90918    
632.0000      	15822.7848    	2530.36353    
632.5000      	15810.2767    	2593.54541    
633.0000      	15797.7883    	2366.54541    
633.5000      	15785.3197    	2173.90918    
634.0000      	15772.8707    	2819.63647    
634.5000      	15760.4413    	2632.36353    
635.0000      	15748.0315    	2445.27271    
635.5000      	15735.6412    	2815.36353    
636.0000      	15723.2704    	2699.54541    
636.5000      	15710.9191    	2471.18188    
637.0000      	15698.5871    	2887.54541    
637.5000      	15686.2745    	2729.81812    
638.0000      	15673.9812    	2546.90918    
638.5000      	15661.7071    	2415.18188    
639.0000      	15649.4523    	2777.09082    
639.5000      	15637.2166    	2646.00000    
640.0000      	15625.0000    	2863.54541    
640.5000      	15612.8025    	2755.36353    
641.0000      	15600.6240    	2545.27271    
641.5000      	15588.4645    	2683.72729    
642.0000      	15576.3240    	2186.45459    
642.5000      	15564.2023    	2724.00000    
643.0000      	15552.0995    	2171.90918    
643.5000      	15540.0155    	2201.72729    
644.0000      	15527.9503    	2468.09082    
644.5000      	15515.9038    	2625.54541    
645.0000      	15503.8760    	2361.72729    
645.5000      	15491.8668    	2613.09082    
646.0000      	15479.8762    	2361.63647    
646.5000      	15467.9041    	2497.27271    
647.0000      	15455.9505    	2320.45459    
647.5000      	15444.0154    	2614.81812    
648.0000      	15432.0988    	2597.18188    
648.5000      	15420.2005    	2798.18188    
649.0000      	15408.3205    	2536.00000    
649.5000      	15396.4588    	2703.81812    
650.0000      	15384.6154    	2478.81812    
650.5000      	15372.7902    	2378.09082    
651.0000      	15360.9831    	2403.72729    
651.5000      	15349.1942    	2270.81812    
652.0000      	15337.4233    	2796.81812    
652.5000      	15325.6705    	2379.90918    
653.0000      	15313.9357    	2298.00000    
653.5000      	15302.2188    	2465.90918    
654.0000      	15290.5199    	2403.63647    
654.5000      	15278.8388    	2228.90918    
655.0000      	15267.1756    	2171.27271    
655.5000      	15255.5301    	2463.90918    
656.0000      	15243.9024    	2468.36353    
656.5000      	15232.2925    	2369.00000    
657.0000      	15220.7002    	2265.63647    
657.5000      	15209.1255    	3006.09082    
658.0000      	15197.5684    	2585.54541    
658.5000      	15186.0289    	2384.45459    
659.0000      	15174.5068    	2198.72729    
659.5000      	15163.0023    	2642.72729    
660.0000      	15151.5152    	2315.90918    
660.5000      	15140.0454    	2423.36353    
661.0000      	15128.5930    	2762.72729    
661.5000      	15117.1580    	2843.27271    
662.0000      	15105.7402    	2611.45459    
662.5000      	15094.3396    	2815.18188    
663.0000      	15082.9563    	2574.27271    
663.5000      	15071.5901    	2596.63647    
664.0000      	15060.2410    	2468.63647    
664.5000      	15048.9090    	2329.27271    
665.0000      	15037.5940    	2568.27271    
665.5000      	15026.2960    	2563.72729    
666.0000      	15015.0150    	2532.45459    
666.5000      	15003.7509    	2524.45459    
667.0000      	14992.5037    	2564.09082    
667.5000      	14981.2734    	2741.36353    
668.0000      	14970.0599    	2639.27271    
