Unit Serial No : 240-LV0P465-EU
Integration Time : 113 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   09:23:29

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
520.0000      	19230.7692    	1980.09094    
520.5000      	19212.2959    	2004.45459    
521.0000      	19193.8580    	1994.81824    
521.5000      	19175.4554    	1932.81824    
522.0000      	19157.0881    	2014.54541    
522.5000      	19138.7560    	2020.54541    
523.0000      	19120.4589    	2011.90906    
523.5000      	19102.1968    	1949.09094    
524.0000      	19083.9695    	1949.90906    
524.5000      	19065.7769    	1945.18176    
525.0000      	19047.6190    	1982.00000    
525.5000      	19029.4957    	1869.36365    
526.0000      	19011.4068    	1870.45459    
526.5000      	18993.3523    	2111.18188    
527.0000      	18975.3321    	1913.63635    
527.5000      	18957.3460    	1822.81824    
528.0000      	18939.3939    	1987.81824    
528.5000      	18921.4759    	2043.45459    
529.0000      	18903.5917    	1923.18176    
529.5000      	18885.7413    	1948.63635    
530.0000      	18867.9245    	1920.81824    
530.5000      	18850.1414    	1886.90906    
531.0000      	18832.3917    	2016.00000    
531.5000      	18814.6754    	1933.54541    
532.0000      	18796.9925    	1993.81824    
532.5000      	18779.3427    	1944.09094    
533.0000      	18761.7261    	1927.09094    
533.5000      	18744.1425    	1896.63635    
534.0000      	18726.5918    	1982.18176    
534.5000      	18709.0739    	1877.54541    
535.0000      	18691.5888    	2002.90906    
535.5000      	18674.1363    	1884.90906    
536.0000      	18656.7164    	2006.36365    
536.5000      	18639.3290    	1914.90906    
537.0000      	18621.9739    	1900.81824    
537.5000      	18604.6512    	1939.45459    
538.0000      	18587.3606    	1887.63635    
538.5000      	18570.1021    	1879.54541    
539.0000      	18552.8757    	1915.00000    
539.5000      	18535.6812    	1968.63635    
540.0000      	18518.5185    	1823.90906    
540.5000      	18501.3876    	1884.00000    
541.0000      	18484.2884    	1946.72729    
541.5000      	18467.2207    	1927.18176    
542.0000      	18450.1845    	1991.72729    
542.5000      	18433.1797    	1831.81824    
543.0000      	18416.2063    	1965.36365    
543.5000      	18399.2640    	1983.45459    
544.0000      	18382.3529    	1892.09094    
544.5000      	18365.4729    	1843.90906    
545.0000      	18348.6239    	2006.36365    
545.5000      	18331.8057    	1931.09094    
546.0000      	18315.0183    	2037.54541    
546.5000      	18298.2617    	1905.36365    
547.0000      	18281.5356    	1923.18176    
547.5000      	18264.8402    	1919.54541    
548.0000      	18248.1752    	1944.09094    
548.5000      	18231.5406    	1874.81824    
549.0000      	18214.9362    	2002.90906    
549.5000      	18198.3621    	1983.45459    
550.0000      	18181.8182    	1912.27271    
550.5000      	18165.3043    	1939.18176    
551.0000      	18148.8203    	1814.27271    
551.5000      	18132.3663    	1907.36365    
552.0000      	18115.9420    	1858.90906    
552.5000      	18099.5475    	1884.54541    
553.0000      	18083.1826    	1799.45459    
553.5000      	18066.8473    	2095.45459    
554.0000      	18050.5415    	1980.27271    
554.5000      	18034.2651    	1926.54541    
555.0000      	18018.0180    	1845.54541    
555.5000      	18001.8002    	1867.81824    
556.0000      	17985.6115    	1829.27271    
556.5000      	17969.4519    	1808.54541    
557.0000      	17953.3214    	1871.81824    
557.5000      	17937.2197    	1896.63635    
558.0000      	17921.1470    	1908.72729    
558.5000      	17905.1030    	1876.36365    
559.0000      	17889.0877    	1905.09094    
559.5000      	17873.1010    	2051.00000    
560.0000      	17857.1429    	1998.27271    
560.5000      	17841.2132    	1880.72729    
561.0000      	17825.3119    	1986.36365    
561.5000      	17809.4390    	1797.54541    
562.0000      	17793.5943    	1963.27271    
562.5000      	17777.7778    	1953.54541    
563.0000      	17761.9893    	1891.00000    
563.5000      	17746.2289    	1828.09094    
564.0000      	17730.4965    	1986.72729    
564.5000      	17714.7919    	1941.00000    
565.0000      	17699.1150    	1830.45459    
565.5000      	17683.4660    	1796.27271    
