Unit Serial No : 240-LV0P465-EU
Integration Time : 249 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   09:28:53

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
613.0000      	16313.2137    	2403.18188    
613.5000      	16299.9185    	2798.90918    
614.0000      	16286.6450    	2486.90918    
614.5000      	16273.3930    	2550.81812    
615.0000      	16260.1626    	2468.09082    
615.5000      	16246.9537    	2409.90918    
616.0000      	16233.7662    	2544.09082    
616.5000      	16220.6002    	2388.27271    
617.0000      	16207.4554    	2621.81812    
617.5000      	16194.3320    	2456.09082    
618.0000      	16181.2298    	2263.81812    
618.5000      	16168.1487    	2663.36353    
619.0000      	16155.0889    	2590.81812    
619.5000      	16142.0500    	2440.00000    
620.0000      	16129.0323    	2537.18188    
620.5000      	16116.0355    	2752.27271    
621.0000      	16103.0596    	2458.45459    
621.5000      	16090.1046    	2232.72729    
622.0000      	16077.1704    	2399.63647    
622.5000      	16064.2570    	2762.00000    
623.0000      	16051.3644    	2514.45459    
623.5000      	16038.4924    	2423.54541    
624.0000      	16025.6410    	2585.81812    
624.5000      	16012.8102    	2962.09082    
625.0000      	16000.0000    	2622.18188    
625.5000      	15987.2102    	2423.09082    
626.0000      	15974.4409    	2570.27271    
626.5000      	15961.6919    	2430.27271    
627.0000      	15948.9633    	2553.36353    
627.5000      	15936.2550    	2646.63647    
628.0000      	15923.5669    	2692.36353    
628.5000      	15910.8990    	2318.54541    
629.0000      	15898.2512    	2549.45459    
629.5000      	15885.6235    	2388.45459    
630.0000      	15873.0159    	2351.54541    
630.5000      	15860.4282    	2484.90918    
631.0000      	15847.8605    	2524.72729    
631.5000      	15835.3127    	2400.81812    
632.0000      	15822.7848    	2529.00000    
632.5000      	15810.2767    	2582.18188    
633.0000      	15797.7883    	2398.27271    
633.5000      	15785.3197    	2246.54541    
634.0000      	15772.8707    	2777.72729    
634.5000      	15760.4413    	2614.36353    
635.0000      	15748.0315    	2496.54541    
635.5000      	15735.6412    	2728.36353    
636.0000      	15723.2704    	2635.72729    
636.5000      	15710.9191    	2469.27271    
637.0000      	15698.5871    	2853.90918    
637.5000      	15686.2745    	2722.36353    
638.0000      	15673.9812    	2583.72729    
638.5000      	15661.7071    	2428.45459    
639.0000      	15649.4523    	2708.00000    
639.5000      	15637.2166    	2642.81812    
640.0000      	15625.0000    	2851.09082    
640.5000      	15612.8025    	2739.00000    
641.0000      	15600.6240    	2548.90918    
641.5000      	15588.4645    	2643.45459    
642.0000      	15576.3240    	2264.54541    
642.5000      	15564.2023    	2689.63647    
643.0000      	15552.0995    	2231.81812    
643.5000      	15540.0155    	2296.45459    
644.0000      	15527.9503    	2448.90918    
644.5000      	15515.9038    	2606.81812    
645.0000      	15503.8760    	2393.27271    
645.5000      	15491.8668    	2584.36353    
646.0000      	15479.8762    	2402.63647    
